Accession,Organism_Name,GenBank_RefSeq,Assembly,SRA_Accession,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Genus,Family,Molecule_type,Length,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,Country,USA,Host,Tissue_Specimen_Source,Collection_Date,BioSample,BioProject,GenBank_Title
OP287812,Eidolon dupreanum kobuvirus,GenBank,,,"Gonzalez,F.L., Kistler,A., Ranaivoson,H.C., Ahyong,V., Andrianiaina,A., Andry,S., DeRisi,J.L., Raharinosy,V., Randriambolamanantsoa,T.H., Ravelomanantsoa,N.A.F., Tato,C.M., Lacoste,V., Dussart,P., Heraud,J.-M., Brook,C.E.","University of Chicago, Ecology and Evolution",USA,1/15/23,FEC145,Eidolon dupreanum kobuvirus,Kobuvirus,Picornaviridae,ssRNA(+),8263,complete,,,,Madagascar,Madagascar,,Eidolon dupreanum,,7/27/18,,,"Eidolon dupreanum kobuvirus, complete genome"
OM274025,Porcine kobuvirus,GenBank,,,"Chen,J.","Anhui Agricultural University, College of Animal Science and Technology",China,12/21/22,AH-32,Kobuvirus cebes,Kobuvirus,Picornaviridae,ssRNA(+),8179,complete,,,,China,China,,Sus scrofa,feces,2020,,,"Porcine kobuvirus isolate AH-32 polyprotein gene, complete genome"
OM274026,Porcine kobuvirus,GenBank,,,"Chen,J.","Anhui Agricultural University, College of Animal Science and Technology",China,12/21/22,AH-42,Kobuvirus cebes,Kobuvirus,Picornaviridae,ssRNA(+),8162,complete,,,,China,China,,Sus scrofa,feces,2018,,,"Porcine kobuvirus isolate AH-42 polyprotein gene, complete genome"
OM274027,Porcine kobuvirus,GenBank,,,"Chen,J.","Anhui Agricultural University, College of Animal Science and Technology",China,12/21/22,AH-49,Kobuvirus cebes,Kobuvirus,Picornaviridae,ssRNA(+),8161,complete,,,,China,China,,Sus scrofa,feces,2019,,,"Porcine kobuvirus isolate AH-49 polyprotein gene, complete genome"
OM274028,Porcine kobuvirus,GenBank,,,"Chen,J.","Anhui Agricultural University, College of Animal Science and Technology",China,12/21/22,AH-75,Kobuvirus cebes,Kobuvirus,Picornaviridae,ssRNA(+),8249,complete,,,,China,China,,Sus scrofa,feces,2020,,,"Porcine kobuvirus isolate AH-75 polyprotein gene, complete genome"
OP414041,Porcine kobuvirus,GenBank,,SRR21277980,"Qian,L., Zhang,W.","Jiangsu University, School of Medicine",China,12/13/22,PF196/con/PicV8,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8436,partial,,,,China: Shanghai,China,,Sus scrofa,feces,2018,SAMN30526822,PRJNA874159,"MAG: Porcine kobuvirus isolate PF196/con/PicV8 polyprotein gene, complete cds"
OP414050,Porcine kobuvirus,GenBank,,SRR21266985,"Qian,L., Zhang,W.","Jiangsu University, School of Medicine",China,12/13/22,PF95/con/PicV17,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),7980,partial,,,,China: Shanghai,China,,Sus scrofa,feces,2018,SAMN30526822,PRJNA874159,"MAG: Porcine kobuvirus isolate PF95/con/PicV17 polyprotein gene, complete cds"
OP414051,Porcine kobuvirus,GenBank,,SRR21274714,"Qian,L., Zhang,W.","Jiangsu University, School of Medicine",China,12/13/22,PF96/con/PicV18,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),7768,partial,,,,China: Shanghai,China,,Sus scrofa,feces,2018,SAMN30526822,PRJNA874159,"MAG: Porcine kobuvirus isolate PF96/con/PicV18 polyprotein gene, complete cds"
OP414052,Porcine kobuvirus,GenBank,,SRR21274716,"Qian,L., Zhang,W.","Jiangsu University, School of Medicine",China,12/13/22,PF97/con/PicV19,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8298,partial,,,,China: Shanghai,China,,Sus scrofa,feces,2018,SAMN30526822,PRJNA874159,"MAG: Porcine kobuvirus isolate PF97/con/PicV19 polyprotein gene, complete cds"
OP414053,Porcine kobuvirus,GenBank,,SRR21274732,"Qian,L., Zhang,W.","Jiangsu University, School of Medicine",China,12/13/22,PF98/con/PicV20,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),7847,partial,,,,China: Shanghai,China,,Sus scrofa,feces,2018,SAMN30526822,PRJNA874159,"MAG: Porcine kobuvirus isolate PF98/con/PicV20 polyprotein gene, complete cds"
OP414055,Porcine kobuvirus,GenBank,,SRR21274750,"Qian,L., Zhang,W.","Jiangsu University, School of Medicine",China,12/13/22,PF102/con/PicV22,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8021,partial,,,,China: Shanghai,China,,Sus scrofa,feces,2018,SAMN30526822,PRJNA874159,"MAG: Porcine kobuvirus isolate PF102/con/PicV22 polyprotein gene, complete cds"
OP414061,Porcine kobuvirus,GenBank,,SRR21276754,"Qian,L., Zhang,W.","Jiangsu University, School of Medicine",China,12/13/22,PF180/con/PicV28,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),7721,partial,,,,China: Shanghai,China,,Sus scrofa,feces,2018,SAMN30526822,PRJNA874159,"MAG: Porcine kobuvirus isolate PF180/con/PicV28 polyprotein gene, complete cds"
OP414063,Porcine kobuvirus,GenBank,,SRR21276810,"Qian,L., Zhang,W.","Jiangsu University, School of Medicine",China,12/13/22,PF183/con/PicV30,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),7895,partial,,,,China: Shanghai,China,,Sus scrofa,feces,2018,SAMN30526822,PRJNA874159,"MAG: Porcine kobuvirus isolate PF183/con/PicV30 polyprotein gene, complete cds"
OP414064,Porcine kobuvirus,GenBank,,SRR21278120,"Qian,L., Zhang,W.","Jiangsu University, School of Medicine",China,12/13/22,PF200/con/PicV31,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8011,partial,,,,China: Shanghai,China,,Sus scrofa,feces,2018,SAMN30526822,PRJNA874159,"MAG: Porcine kobuvirus isolate PF200/con/PicV31 polyprotein gene, complete cds"
OP414066,Porcine kobuvirus,GenBank,,SRR21278121,"Qian,L., Zhang,W.","Jiangsu University, School of Medicine",China,12/13/22,PF202/con/PicV33,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8115,partial,,,,China: Shanghai,China,,Sus scrofa,feces,2018,SAMN30526822,PRJNA874159,"MAG: Porcine kobuvirus isolate PF202/con/PicV33 polyprotein gene, complete cds"
ON595848,Feline kobuvirus,GenBank,,SRR19348650,"Van Brussel,K., Wang,X., Shi,M., Carrai,M., Feng,S., Li,J., Holmes,E.C., Beatty,J.A., Barrs,V.R.","University of Sydney, Science",Australia,11/30/22,FPV-1,Aichivirus A,Kobuvirus,Picornaviridae,ssRNA(+),8179,complete,,,,Australia,Australia,,Felis catus,feces,2017,SAMN28578126,PRJNA841246,"MAG: Feline kobuvirus isolate FPV-1, complete genome"
ON595849,Feline kobuvirus,GenBank,,SRR19348595,"Van Brussel,K., Wang,X., Shi,M., Carrai,M., Feng,S., Li,J., Holmes,E.C., Beatty,J.A., Barrs,V.R.","University of Sydney, Science",Australia,11/30/22,FPV-2,Aichivirus A,Kobuvirus,Picornaviridae,ssRNA(+),8288,complete,,,,Australia,Australia,,Felis catus,feces,2017,SAMN28578120,PRJNA841246,"MAG: Feline kobuvirus isolate FPV-2, complete genome"
ON595850,Feline kobuvirus,GenBank,,SRR19348646,"Van Brussel,K., Wang,X., Shi,M., Carrai,M., Feng,S., Li,J., Holmes,E.C., Beatty,J.A., Barrs,V.R.","University of Sydney, Science",Australia,11/30/22,FPV-3,Aichivirus A,Kobuvirus,Picornaviridae,ssRNA(+),7804,complete,,,,Australia,Australia,,Felis catus,feces,2017,SAMN28578127,PRJNA841246,"MAG: Feline kobuvirus isolate FPV-3, complete genome"
ON595851,Feline kobuvirus,GenBank,,SRR19348538,"Van Brussel,K., Wang,X., Shi,M., Carrai,M., Feng,S., Li,J., Holmes,E.C., Beatty,J.A., Barrs,V.R.","University of Sydney, Science",Australia,11/30/22,FPV-4,Aichivirus A,Kobuvirus,Picornaviridae,ssRNA(+),7487,complete,,,,Australia,Australia,,Felis catus,feces,2017,SAMN28578130,PRJNA841246,"MAG: Feline kobuvirus isolate FPV-4, complete genome"
ON595852,Feline kobuvirus,GenBank,,,"Van Brussel,K., Wang,X., Shi,M., Carrai,M., Feng,S., Li,J., Holmes,E.C., Beatty,J.A., Barrs,V.R.","University of Sydney, Science",Australia,11/30/22,FPV-9,Aichivirus A,Kobuvirus,Picornaviridae,ssRNA(+),8190,complete,,,,Australia,Australia,,Felis catus,feces,2017,,PRJNA841246,"MAG: Feline kobuvirus isolate FPV-9, complete genome"
OM069741,aichivirus A8,GenBank,,,"Gao,Y., He,W.","Southern Medical University, Department of Epidemiology, School of Public Health",China,11/28/22,SZ290,Kobuvirus aichi,Kobuvirus,Picornaviridae,ssRNA(+),8254,partial,,,,China,China,,Rattus norvegicus,feces,9/25/21,,,"Murine kobuvirus 1 isolate SZ290 polyprotein gene, complete cds"
OM069742,aichivirus A8,GenBank,,,"Gao,Y., He,W.","Southern Medical University, Department of Epidemiology, School of Public Health",China,11/28/22,SZ262,Kobuvirus aichi,Kobuvirus,Picornaviridae,ssRNA(+),8251,partial,,,,China,China,,Rattus norvegicus,feces,9/25/21,,,"Murine kobuvirus 1 isolate SZ262 polyprotein gene, complete cds"
OM069743,aichivirus A8,GenBank,,,"Gao,Y., He,W.","Southern Medical University, Department of Epidemiology, School of Public Health",China,11/28/22,SZ252,Kobuvirus aichi,Kobuvirus,Picornaviridae,ssRNA(+),8255,partial,,,,China,China,,Rattus norvegicus,feces,9/25/21,,,"Murine kobuvirus 1 isolate SZ252 polyprotein gene, complete cds"
OM069744,aichivirus A8,GenBank,,,"Gao,Y., He,W.","Southern Medical University, Department of Epidemiology, School of Public Health",China,11/28/22,SZ249,Kobuvirus aichi,Kobuvirus,Picornaviridae,ssRNA(+),8250,partial,,,,China,China,,Rattus norvegicus,feces,9/25/21,,,"Murine kobuvirus 1 isolate SZ249 polyprotein gene, complete cds"
OM069745,aichivirus A8,GenBank,,,"Gao,Y., He,W.","Southern Medical University, Department of Epidemiology, School of Public Health",China,11/28/22,SZ227,Kobuvirus aichi,Kobuvirus,Picornaviridae,ssRNA(+),8250,partial,,,,China,China,,Rattus norvegicus,feces,9/25/21,,,"Murine kobuvirus 1 isolate SZ227 polyprotein gene, complete cds"
OM069746,aichivirus A8,GenBank,,,"Gao,Y., He,W.","Southern Medical University, Department of Epidemiology, School of Public Health",China,11/28/22,SZ208,Kobuvirus aichi,Kobuvirus,Picornaviridae,ssRNA(+),8251,partial,,,,China,China,,Rattus tanezumi,feces,7/20/21,,,"Murine kobuvirus 1 isolate SZ208 polyprotein gene, complete cds"
OM069747,aichivirus A8,GenBank,,,"Gao,Y., He,W.","Southern Medical University, Department of Epidemiology, School of Public Health",China,11/28/22,SZ203,Kobuvirus aichi,Kobuvirus,Picornaviridae,ssRNA(+),8252,partial,,,,China,China,,Rattus norvegicus,feces,7/20/21,,,"Murine kobuvirus 1 isolate SZ203 polyprotein gene, complete cds"
OM069748,aichivirus A8,GenBank,,,"Gao,Y., He,W.","Southern Medical University, Department of Epidemiology, School of Public Health",China,11/28/22,SZ202,Kobuvirus aichi,Kobuvirus,Picornaviridae,ssRNA(+),8335,partial,,,,China,China,,Rattus norvegicus,feces,7/20/21,,,"Murine kobuvirus 1 isolate SZ202 polyprotein gene, complete cds"
OM069749,aichivirus A8,GenBank,,,"Gao,Y., He,W.","Southern Medical University, Department of Epidemiology, School of Public Health",China,11/28/22,SZ193,Kobuvirus aichi,Kobuvirus,Picornaviridae,ssRNA(+),8250,partial,,,,China,China,,Rattus norvegicus,feces,7/20/21,,,"Murine kobuvirus 1 isolate SZ193 polyprotein gene, complete cds"
OM069750,aichivirus A8,GenBank,,,"Gao,Y., He,W.","Southern Medical University, Department of Epidemiology, School of Public Health",China,11/28/22,SZ190,Kobuvirus aichi,Kobuvirus,Picornaviridae,ssRNA(+),8250,partial,,,,China,China,,Rattus norvegicus,feces,7/20/21,,,"Murine kobuvirus 1 isolate SZ190 polyprotein gene, complete cds"
OM069751,aichivirus A8,GenBank,,,"Gao,Y., He,W.","Southern Medical University, Department of Epidemiology, School of Public Health",China,11/28/22,SZ188,Kobuvirus aichi,Kobuvirus,Picornaviridae,ssRNA(+),8239,partial,,,,China,China,,Rattus norvegicus,feces,7/20/21,,,"Murine kobuvirus 1 isolate SZ188 polyprotein gene, complete cds"
OM069752,aichivirus A8,GenBank,,,"Gao,Y., He,W.","Southern Medical University, Department of Epidemiology, School of Public Health",China,11/28/22,SZ172,Kobuvirus aichi,Kobuvirus,Picornaviridae,ssRNA(+),8316,partial,,,,China,China,,Rattus norvegicus,feces,5/27/21,,,"Murine kobuvirus 1 isolate SZ172 polyprotein gene, complete cds"
OM069753,aichivirus A8,GenBank,,,"Gao,Y., He,W.","Southern Medical University, Department of Epidemiology, School of Public Health",China,11/28/22,SZ171,Kobuvirus aichi,Kobuvirus,Picornaviridae,ssRNA(+),8250,partial,,,,China,China,,Rattus norvegicus,feces,5/27/21,,,"Murine kobuvirus 1 isolate SZ171 polyprotein gene, complete cds"
OM069754,aichivirus A8,GenBank,,,"Gao,Y., He,W.","Southern Medical University, Department of Epidemiology, School of Public Health",China,11/28/22,SZ158,Kobuvirus aichi,Kobuvirus,Picornaviridae,ssRNA(+),8213,partial,,,,China,China,,Rattus norvegicus,feces,5/27/21,,,"Murine kobuvirus 1 isolate SZ158 polyprotein gene, complete cds"
OM069755,aichivirus A8,GenBank,,,"Gao,Y., He,W.","Southern Medical University, Department of Epidemiology, School of Public Health",China,11/28/22,SZ157,Kobuvirus aichi,Kobuvirus,Picornaviridae,ssRNA(+),8252,partial,,,,China,China,,Rattus norvegicus,feces,5/27/21,,,"Murine kobuvirus 1 isolate SZ157 polyprotein gene, complete cds"
OM069756,aichivirus A8,GenBank,,,"Gao,Y., He,W.","Southern Medical University, Department of Epidemiology, School of Public Health",China,11/28/22,SZ155,Kobuvirus aichi,Kobuvirus,Picornaviridae,ssRNA(+),8250,partial,,,,China,China,,Rattus norvegicus,feces,5/27/21,,,"Murine kobuvirus 1 isolate SZ155 polyprotein gene, complete cds"
OM069757,aichivirus A8,GenBank,,,"Gao,Y., He,W.","Southern Medical University, Department of Epidemiology, School of Public Health",China,11/28/22,SZ144,Kobuvirus aichi,Kobuvirus,Picornaviridae,ssRNA(+),8253,partial,,,,China,China,,Rattus norvegicus,feces,4/24/21,,,"Murine kobuvirus 1 isolate SZ144 polyprotein gene, complete cds"
OM069758,aichivirus A8,GenBank,,,"Gao,Y., He,W.","Southern Medical University, Department of Epidemiology, School of Public Health",China,11/28/22,SZ132,Kobuvirus aichi,Kobuvirus,Picornaviridae,ssRNA(+),8251,partial,,,,China,China,,Rattus norvegicus,feces,4/24/21,,,"Murine kobuvirus 1 isolate SZ132 polyprotein gene, complete cds"
OM069759,aichivirus A8,GenBank,,,"Gao,Y., He,W.","Southern Medical University, Department of Epidemiology, School of Public Health",China,11/28/22,SZ86,Kobuvirus aichi,Kobuvirus,Picornaviridae,ssRNA(+),8253,partial,,,,China,China,,Rattus norvegicus,feces,3/27/21,,,"Murine kobuvirus 1 isolate SZ86 polyprotein gene, complete cds"
OM069760,aichivirus A8,GenBank,,,"Gao,Y., He,W.","Southern Medical University, Department of Epidemiology, School of Public Health",China,11/28/22,SZ70,Kobuvirus aichi,Kobuvirus,Picornaviridae,ssRNA(+),8251,partial,,,,China,China,,Rattus norvegicus,feces,1/16/21,,,"Murine kobuvirus 1 isolate SZ70 polyprotein gene, complete cds"
OM069761,aichivirus A8,GenBank,,,"Gao,Y., He,W.","Southern Medical University, Department of Epidemiology, School of Public Health",China,11/28/22,SZ59,Kobuvirus aichi,Kobuvirus,Picornaviridae,ssRNA(+),8252,partial,,,,China,China,,Rattus tanezumi,feces,12/26/20,,,"Murine kobuvirus 1 isolate SZ59 polyprotein gene, complete cds"
OM069762,aichivirus A8,GenBank,,,"Gao,Y., He,W.","Southern Medical University, Department of Epidemiology, School of Public Health",China,11/28/22,SZ22,Kobuvirus aichi,Kobuvirus,Picornaviridae,ssRNA(+),8192,partial,,,,China,China,,Rattus norvegicus,feces,11/28/20,,,"Murine kobuvirus 1 isolate SZ22 polyprotein gene, complete cds"
OM069763,aichivirus A8,GenBank,,,"Gao,Y., He,W.","Southern Medical University, Department of Epidemiology, School of Public Health",China,11/28/22,SZ-FI6,Kobuvirus aichi,Kobuvirus,Picornaviridae,ssRNA(+),8254,partial,,,,China,China,,Rattus norvegicus,feces,8/26/20,,,"Murine kobuvirus 1 isolate SZ-FI6 polyprotein gene, complete cds"
OM049038,aichivirus A8,GenBank,,,"Gao,Y., He,W.","Southern Medical University, Department of Epidemiology, School of Public Health",China,11/26/22,SZ-B13,Kobuvirus aichi,Kobuvirus,Picornaviridae,ssRNA(+),8239,partial,,,,China,China,,Rattus norvegicus,feces,5/5/20,,,"Murine kobuvirus 1 isolate SZ-B13 polyprotein gene, complete cds"
OM049039,aichivirus A8,GenBank,,,"Gao,Y., He,W.","Southern Medical University, Department of Epidemiology, School of Public Health",China,11/26/22,SZ-CE7,Kobuvirus aichi,Kobuvirus,Picornaviridae,ssRNA(+),8351,partial,,,,China,China,,Rattus norvegicus,feces,5/20/20,,,"Murine kobuvirus 1 isolate SZ-CE7 polyprotein gene, complete cds"
OM049040,aichivirus A8,GenBank,,,"Gao,Y., He,W.","Southern Medical University, Department of Epidemiology, School of Public Health",China,11/26/22,SZ-CJ6,Kobuvirus aichi,Kobuvirus,Picornaviridae,ssRNA(+),8220,partial,,,,China,China,,Rattus norvegicus,feces,5/20/20,,,"Murine kobuvirus 1 isolate SZ-CJ6 polyprotein gene, complete cds"
OM049041,aichivirus A8,GenBank,,,"Gao,Y., He,W.","Southern Medical University, Department of Epidemiology, School of Public Health",China,11/26/22,SZ-CL6,Kobuvirus aichi,Kobuvirus,Picornaviridae,ssRNA(+),8410,partial,,,,China,China,,Rattus norvegicus,feces,5/20/20,,,"Murine kobuvirus 1 isolate SZ-CL6 polyprotein gene, complete cds"
OM049042,aichivirus A8,GenBank,,,"Gao,Y., He,W.","Southern Medical University, Department of Epidemiology, School of Public Health",China,11/26/22,SZ-DD6,Kobuvirus aichi,Kobuvirus,Picornaviridae,ssRNA(+),8337,partial,,,,China,China,,Rattus tanezumi,feces,6/29/20,,,"Murine kobuvirus 1 isolate SZ-DD6 polyprotein gene, complete cds"
ON008386,Feline kobuvirus,GenBank,,,"Pan,Y.","Anhui Agricultyral University, College of Animal Science and Technology",China,11/17/22,AHAU-1,Kobuvirus aichi,Kobuvirus,Picornaviridae,ssRNA(+),8258,partial,,,,China,China,,Feliformia,feces,12/10/20,,,"Feline kobuvirus isolate AHAU-1 polyprotein gene, complete cds"
ON008387,Feline kobuvirus,GenBank,,,"Pan,Y.","Anhui Agricultyral University, College of Animal Science and Technology",China,11/17/22,AHAU-2,Kobuvirus aichi,Kobuvirus,Picornaviridae,ssRNA(+),8238,partial,,,,China,China,,Feliformia,feces,4/15/21,,,"Feline kobuvirus isolate AHAU-2 polyprotein gene, complete cds"
ON008388,Feline kobuvirus,GenBank,,,"Pan,Y.","Anhui Agricultyral University, College of Animal Science and Technology",China,11/17/22,AHAU-3,Kobuvirus aichi,Kobuvirus,Picornaviridae,ssRNA(+),8258,partial,,,,China,China,,Feliformia,feces,4/15/21,,,"Feline kobuvirus isolate AHAU-3 polyprotein gene, complete cds"
OK019998,Bovine kobuvirus,GenBank,,,"Xiao,S.-Y., Zhai,S.-L.","Institute of Animal Health, Guangdong Academy of Agricultural Sciences, Animal Disease Diagnosis Center",China,10/26/22,HNLD2019,Kobuvirus bejaponia,Kobuvirus,Picornaviridae,ssRNA(+),8320,complete,,,,China,China,,Bos taurus,feces,11/2/19,,,"Bovine kobuvirus isolate HNLD2019, complete genome"
OP093966,Canine kobuvirus,GenBank,,,"de Deus,D.R., Siqueira,J.A.M., Cardoso,B.T.M., Teixeira,D.M., Maues,M.A.C., de Figueiredo,M.J.F.M., Junior,E.C.S., Bandeira,R.S., Pinheiro,K.C., Guerra,S.F.S., Soares,L.S., Resque,H.R., da Silva,L.D., Gabbay,Y.B.","Evandro Chagas Institute, Virology",Brazil,10/26/22,PK02,Canine kobuvirus,Kobuvirus,Picornaviridae,ssRNA(+),8209,complete,,,,Brazil,Brazil,,Canis lupus familiaris,feces,2019,,,"Canine kobuvirus strain CaKoV/PK02/2019/BRA, complete genome"
OP093967,Canine kobuvirus,GenBank,,,"de Deus,D.R., Siqueira,J.A.M., Cardoso,B.T.M., Teixeira,D.M., Maues,M.A.C., de Figueiredo,M.J.F.M., Junior,E.C.S., Bandeira,R.S., Pinheiro,K.C., Guerra,S.F.S., Soares,L.S., Resque,H.R., da Silva,L.D., Gabbay,Y.B.","Evandro Chagas Institute, Virology",Brazil,10/26/22,PK01,Canine kobuvirus,Kobuvirus,Picornaviridae,ssRNA(+),8216,complete,,,,Brazil,Brazil,,Canis lupus familiaris,feces,2019,,,"Canine kobuvirus strain CaKoV/PK01/2019/BRA, complete genome"
OP093968,Canine kobuvirus,GenBank,,,"de Deus,D.R., Siqueira,J.A.M., Cardoso,B.T.M., Teixeira,D.M., Maues,M.A.C., de Figueiredo,M.J.F.M., Junior,E.C.S., Bandeira,R.S., Pinheiro,K.C., Guerra,S.F.S., Soares,L.S., Resque,H.R., da Silva,L.D., Gabbay,Y.B.","Evandro Chagas Institute, Virology",Brazil,10/26/22,PK04,Canine kobuvirus,Kobuvirus,Picornaviridae,ssRNA(+),8209,complete,,,,Brazil,Brazil,,Canis lupus familiaris,feces,2019,,,"Canine kobuvirus strain CaKoV/PK04/2019/BRA, complete genome"
ON792975,Porcine kobuvirus,GenBank,,,"Carvajal,A., Arguello,H., Cortey,M., Diaz,I., Gomez-Garcia,M., Puente,H.","Facultad de Veterinaria, Sanidad Animal",Spain,9/26/22,SP-VC4,Kobuvirus cebes,Kobuvirus,Picornaviridae,ssRNA(+),8210,complete,,,,Spain,Spain,,Sus scrofa,feces,1/17/17,,,"Porcine kobuvirus isolate SP-VC4, complete genome"
ON792976,Porcine kobuvirus,GenBank,,,"Carvajal,A., Arguello,H., Cortey,M., Diaz,I., Gomez-Garcia,M., Puente,H.","Facultad de Veterinaria, Sanidad Animal",Spain,9/26/22,SP-VC18,Kobuvirus cebes,Kobuvirus,Picornaviridae,ssRNA(+),8210,complete,,,,Spain,Spain,,Sus scrofa,feces,3/7/17,,,"Porcine kobuvirus isolate SP-VC18, complete genome"
ON792977,Porcine kobuvirus,GenBank,,,"Carvajal,A., Arguello,H., Cortey,M., Diaz,I., Gomez-Garcia,M., Puente,H.","Facultad de Veterinaria, Sanidad Animal",Spain,9/26/22,SP-VC36,Kobuvirus cebes,Kobuvirus,Picornaviridae,ssRNA(+),8210,complete,,,,Spain,Spain,,Sus scrofa,feces,4/4/17,,,"Porcine kobuvirus isolate SP-VC36, complete genome"
LC721036,Feline kobuvirus,GenBank,,,"Takano,T., Tanimoto,Y., Doki,T.","Veterinary Medicine; 35-1 Higashi23, Towada, Aomori 034-8628",Japan,8/2/22,Y-1,Kobuvirus aichi,Kobuvirus,Picornaviridae,ssRNA(+),7934,complete,,,,Japan,Japan,,Felis catus,feces,7/20/19,,,"Feline kobuvirus cat/KU22078/Japan/2019 RNA, complete genome"
MT766372,Kobuvirus sp.,GenBank,,SRR12204847,"Yang,Q., Rivailler,P., Zhu,S., Yan,D., Xie,N., Tang,H., Zhang,Y., Xu,W.","China CDC, National Institute for Communicable Disease Control and Prevention",China,6/23/22,CHN/XJ/env/2018/ht8-ctg1,Kobuvirus sp.,Kobuvirus,Picornaviridae,ssRNA(+),8235,complete,,,1,China: Xinjiang,China,,,,8/12/18,SAMN15514210,PRJNA645711,"MAG: Kobuvirus sp. isolate CHN/XJ/env/2018/ht8-ctg1, complete genome"
OK315318,Porcine kobuvirus,GenBank,,,"Li,Y., Yan,S.Z., Liang,X.J., Jiao,Z.","Huazhong Agricultural University, Lab of Veterinary Pathology",China,4/12/22,Wuhan2020,Kobuvirus cebes,Kobuvirus,Picornaviridae,ssRNA(+),8145,complete,,,,China,China,,Sus scrofa,,2020,,,"Porcine kobuvirus isolate Wuhan2020, complete genome"
ON075050,Bovine kobuvirus,GenBank,,,"Yu,s.","Heilongjiang Bayi Agricultural University, Lab of Prevention and Control of Swine Diseases",China,4/9/22,BKV1/2021/CHN,Kobuvirus bejaponia,Kobuvirus,Picornaviridae,ssRNA(+),8320,complete,,,,China,China,,Bos taurus,feces,2021,,,"Bovine kobuvirus isolate BKV1/2021/CHN, complete genome"
ON075051,Bovine kobuvirus,GenBank,,,"Yu,s.","Heilongjiang Bayi Agricultural University, Lab of Prevention and Control of Swine Diseases",China,4/9/22,BKV2/2021/CHN,Kobuvirus bejaponia,Kobuvirus,Picornaviridae,ssRNA(+),8297,complete,,,,China,China,,Bos taurus,feces,2021,,,"Bovine kobuvirus isolate BKV2/2021/CHN, complete genome"
ON075052,Bovine kobuvirus,GenBank,,,"Yu,s.","Heilongjiang Bayi Agricultural University, Lab of Prevention and Control of Swine Diseases",China,4/9/22,BKV3/2021/CHN,Kobuvirus bejaponia,Kobuvirus,Picornaviridae,ssRNA(+),8372,complete,,,,China,China,,Bos taurus,feces,2021,,,"Bovine kobuvirus isolate BKV3/2021/CHN, complete genome"
ON075053,Bovine kobuvirus,GenBank,,,"Yu,s.","Heilongjiang Bayi Agricultural University, Lab of Prevention and Control of Swine Diseases",China,4/9/22,BKV4/2021/CHN,Kobuvirus bejaponia,Kobuvirus,Picornaviridae,ssRNA(+),8422,complete,,,,China,China,,Bos taurus,feces,2021,,,"Bovine kobuvirus isolate BKV4/2021/CHN, complete genome"
ON075054,Bovine kobuvirus,GenBank,,,"Yu,s.","Heilongjiang Bayi Agricultural University, Lab of Prevention and Control of Swine Diseases",China,4/9/22,BKV6/2021/CHN,Kobuvirus bejaponia,Kobuvirus,Picornaviridae,ssRNA(+),8349,complete,,,,China,China,,Bos taurus,feces,2021,,,"Bovine kobuvirus isolate BKV6/2021/CHN, complete genome"
ON075055,Bovine kobuvirus,GenBank,,,"Yu,s.","Heilongjiang Bayi Agricultural University, Lab of Prevention and Control of Swine Diseases",China,4/9/22,BKV7/2021/CHN,Kobuvirus bejaponia,Kobuvirus,Picornaviridae,ssRNA(+),8333,complete,,,,China,China,,Bos taurus,feces,2021,,,"Bovine kobuvirus isolate BKV7/2021/CHN, complete genome"
ON075056,Bovine kobuvirus,GenBank,,,"Yu,s.","Heilongjiang Bayi Agricultural University, Lab of Prevention and Control of Swine Diseases",China,4/9/22,BKV8/2021/CHN,Kobuvirus bejaponia,Kobuvirus,Picornaviridae,ssRNA(+),8314,complete,,,,China,China,,Bos taurus,feces,2021,,,"Bovine kobuvirus isolate BKV8/2021/CHN, complete genome"
OM480536,Coypu kobuvirus,GenBank,,,"He,W.-T., Hou,X., Zhao,J.","Nanjing Agricultural University, College of Veterinary Medicine",China,3/15/22,,Coypu kobuvirus,Kobuvirus,Picornaviridae,ssRNA(+),8242,partial,,,,China,China,,Myocastor coypus,,2020,,,Coypu kobuvirus strain GX-A1 genomic sequence
OM451182,Canine kobuvirus,GenBank,,SRR17481203,"He,W.-T., Hou,X., Zhao,J., Sun,J., He,H., Si,W., Wang,J., Jiang,Z., Yan,Z., Xing,G., Lu,M., Suchard,M.A., Ji,X., Gong,W., He,B., Li,J., Lemey,P., Guo,D., Tu,C., Holmes,E.C., Shi,M., Su,S.","Nanjing Agricultural University, College of Veterinary Medicine",China,3/9/22,JX-MO1,Canine kobuvirus,Kobuvirus,Picornaviridae,ssRNA(+),8315,partial,,,,China,China,,Vulpes lagopus,,2021,SAMN24587272,PRJNA793740,"MAG: Canine kobuvirus isolate JX-MO1 polyprotein gene, complete cds"
