Accession,Organism_Name,Assembly,SRA_Accession,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Genus,Family,Molecule_type,Length,GenBank_RefSeq,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,Country,USA,Host,Tissue_Specimen_Source,Collection_Date,BioSample,BioProject,GenBank_Title
AB084788,Aichivirus B,set:AB084788,,"Yamashita,T., Ito,M., Kabashima,Y., Tsuzuki,H., Fujiura,A., Sakae,K.","Department of Microbiology; 7-6, Nagare, Tsujimachi, Kita-ku, Nagoya, Aichi 4628576",Japan,2002-11-09,,Aichivirus B,Kobuvirus,Picornaviridae,ssRNA(+),8374,GenBank,complete,,,1,,,,Bos taurus,,,,,"Aichivirus B genomic RNA, complete genome, strain:U-1"
PP171443,Porcine kobuvirus,,,"Bhat,S., Sircar,S., Vinodhkumar,O., Dhama,K., De,U., Singh,A., Singh,R., Malik,Y.S.","Indian Veterinary Research Institute, Division of Biological Standardization",India,2024-01-30,KER-204,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8087,GenBank,partial,,,,India,India,,Sus scrofa,feces,2015,,,"Porcine kobuvirus isolate KER-204 polyprotein gene, complete cds"
OR682616,Caprine kobuvirus,,,"YuTing,C.","Southwest Minzu University, Department of Animal Husbandry and Veterinary Medicine",China,2023-11-08,Caprine/SWUN/F1/2022,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8152,GenBank,complete,,,,China,China,,Capra hircus,feces,2022,,,"Caprine kobuvirus isolate Caprine/SWUN/F1/2022, complete genome"
OR682617,Caprine kobuvirus,,,"YuTing,C.","Southwest Minzu University, Department of Animal Husbandry and Veterinary Medicine",China,2023-11-08,Caprine/SWUN/F2/2022,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8197,GenBank,complete,,,,China,China,,Capra hircus,feces,2022,,,"Caprine kobuvirus isolate Caprine/SWUN/F2/2022, complete genome"
OR364986,Porcine kobuvirus,,,"Zang,Y., Chen,N.","Yangzhou University, Preventive Veterinary Medicine",China,2023-10-02,JSYZ1806-158,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8056,GenBank,partial,,,,China: Jiangsu,China,,Sus scrofa,,2018-06-02,,,"Porcine kobuvirus isolate JSYZ1806-158, partial genome"
OR364987,Porcine kobuvirus,,,"Zang,Y., Chen,N.","Yangzhou University, Preventive Veterinary Medicine",China,2023-10-02,GDCZ2202-1606,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8056,GenBank,partial,,,,China: Guangdong,China,,Sus scrofa,,2022-02-27,,,"Porcine kobuvirus isolate GDCZ2202-1606, partial genome"
OP414039,Porcine kobuvirus,,SRR21274817,"Qian,L., Zhang,W.","Jiangsu University, School of Medicine",China,2023-01-23,PF163/con/PicV6,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8371,GenBank,partial,,,,China: Shanghai,China,,Sus scrofa,feces,2018,SAMN30526822,PRJNA874159,"MAG UNVERIFIED_ASMBLY: Porcine kobuvirus polyprotein gene strain PF163/con/PicV6, complete cds"
OP414059,Porcine kobuvirus,,SRR21274780,"Qian,L., Zhang,W.","Jiangsu University, School of Medicine",China,2023-01-23,PF161/con/PicV26,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),7769,GenBank,partial,,,,China: Shanghai,China,,Sus scrofa,feces,2018,SAMN30526822,PRJNA874159,"MAG UNVERIFIED_ASMBLY: Porcine kobuvirus polyprotein gene strain PF161/con/PicV26, complete cds"
OP414041,Porcine kobuvirus,,SRR21277980,"Qian,L., Zhang,W.","Jiangsu University, School of Medicine",China,2022-12-13,PF196/con/PicV8,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8436,GenBank,partial,,,,China: Shanghai,China,,Sus scrofa,feces,2018,SAMN30526822,PRJNA874159,"MAG: Porcine kobuvirus isolate PF196/con/PicV8 polyprotein gene, complete cds"
OP414050,Porcine kobuvirus,,SRR21266985,"Qian,L., Zhang,W.","Jiangsu University, School of Medicine",China,2022-12-13,PF95/con/PicV17,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),7980,GenBank,partial,,,,China: Shanghai,China,,Sus scrofa,feces,2018,SAMN30526822,PRJNA874159,"MAG: Porcine kobuvirus isolate PF95/con/PicV17 polyprotein gene, complete cds"
OP414051,Porcine kobuvirus,,SRR21274714,"Qian,L., Zhang,W.","Jiangsu University, School of Medicine",China,2022-12-13,PF96/con/PicV18,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),7768,GenBank,partial,,,,China: Shanghai,China,,Sus scrofa,feces,2018,SAMN30526822,PRJNA874159,"MAG: Porcine kobuvirus isolate PF96/con/PicV18 polyprotein gene, complete cds"
OP414052,Porcine kobuvirus,,SRR21274716,"Qian,L., Zhang,W.","Jiangsu University, School of Medicine",China,2022-12-13,PF97/con/PicV19,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8298,GenBank,partial,,,,China: Shanghai,China,,Sus scrofa,feces,2018,SAMN30526822,PRJNA874159,"MAG: Porcine kobuvirus isolate PF97/con/PicV19 polyprotein gene, complete cds"
OP414053,Porcine kobuvirus,,SRR21274732,"Qian,L., Zhang,W.","Jiangsu University, School of Medicine",China,2022-12-13,PF98/con/PicV20,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),7847,GenBank,partial,,,,China: Shanghai,China,,Sus scrofa,feces,2018,SAMN30526822,PRJNA874159,"MAG: Porcine kobuvirus isolate PF98/con/PicV20 polyprotein gene, complete cds"
OP414055,Porcine kobuvirus,,SRR21274750,"Qian,L., Zhang,W.","Jiangsu University, School of Medicine",China,2022-12-13,PF102/con/PicV22,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8021,GenBank,partial,,,,China: Shanghai,China,,Sus scrofa,feces,2018,SAMN30526822,PRJNA874159,"MAG: Porcine kobuvirus isolate PF102/con/PicV22 polyprotein gene, complete cds"
OP414061,Porcine kobuvirus,,SRR21276754,"Qian,L., Zhang,W.","Jiangsu University, School of Medicine",China,2022-12-13,PF180/con/PicV28,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),7721,GenBank,partial,,,,China: Shanghai,China,,Sus scrofa,feces,2018,SAMN30526822,PRJNA874159,"MAG: Porcine kobuvirus isolate PF180/con/PicV28 polyprotein gene, complete cds"
OP414063,Porcine kobuvirus,,SRR21276810,"Qian,L., Zhang,W.","Jiangsu University, School of Medicine",China,2022-12-13,PF183/con/PicV30,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),7895,GenBank,partial,,,,China: Shanghai,China,,Sus scrofa,feces,2018,SAMN30526822,PRJNA874159,"MAG: Porcine kobuvirus isolate PF183/con/PicV30 polyprotein gene, complete cds"
OP414064,Porcine kobuvirus,,SRR21278120,"Qian,L., Zhang,W.","Jiangsu University, School of Medicine",China,2022-12-13,PF200/con/PicV31,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8011,GenBank,partial,,,,China: Shanghai,China,,Sus scrofa,feces,2018,SAMN30526822,PRJNA874159,"MAG: Porcine kobuvirus isolate PF200/con/PicV31 polyprotein gene, complete cds"
OP414066,Porcine kobuvirus,,SRR21278121,"Qian,L., Zhang,W.","Jiangsu University, School of Medicine",China,2022-12-13,PF202/con/PicV33,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8115,GenBank,partial,,,,China: Shanghai,China,,Sus scrofa,feces,2018,SAMN30526822,PRJNA874159,"MAG: Porcine kobuvirus isolate PF202/con/PicV33 polyprotein gene, complete cds"
OM105002,Porcine kobuvirus,,SRR17345013,"Chauhan,R.P., James,S.E., Gordon,M.L.","University of KwaZulu-Natal, School of Laboratory Medicine and Medical Sciences",South Africa,2022-01-31,BSF2,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8123,GenBank,partial,,,,South Africa,South Africa,,Sus scrofa domesticus,"saliva, oronasopharynx",2021-03,SAMN24451506,PRJNA792720,"MAG: Porcine kobuvirus isolate BSF2 polyprotein gene, complete cds"
MZ334483,Porcine kobuvirus,,,"Schuele,L., Lizarazo-Forero,E., Strutzberg-Minder,K., Schutze,S., Lobert,S., Lambrecht,C., Harlizius,J., Friedrich,A.W., Peter,S., Rossen,J.W.A., Couto,N., Friedrich,A., Rossen,J.","University Medical Center Groningen, Department for Medical Microbiology and Infection Prevention",Netherlands,2021-08-17,,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8191,GenBank,complete,,,1,Germany,Germany,,Sus scrofa,oronasopharynx,2018,,,"Porcine kobuvirus strain FoPro-213.14/GER/2018, complete genome"
MT125682,Porcine kobuvirus,,,"Zhu,X., Chen,J., Feng,L.","Harbin Veterinary Research Institute, Chinese Academy of Agricultural Sciences",,2021-01-27,swine/JX-1/2013/China,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8150,GenBank,complete,,,,China,China,,Sus scrofa,feces,2013-12-15,,,"Porcine kobuvirus isolate swine/JX-1/2013/China, complete genome"
MT125683,Porcine kobuvirus,,,"Zhu,X., Chen,J., Feng,L.","Harbin Veterinary Research Institute, Chinese Academy of Agricultural Sciences",,2021-01-27,swine/JX-2/2013/China,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8147,GenBank,complete,,,,China,China,,Sus scrofa,feces,2013-12-15,,,"Porcine kobuvirus isolate swine/JX-2/2013/China, complete genome"
MT125684,Porcine kobuvirus,,,"Zhu,X., Chen,J., Feng,L.","Harbin Veterinary Research Institute, Chinese Academy of Agricultural Sciences",,2021-01-27,swine/JX-3/2013/China,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8240,GenBank,complete,,,,China,China,,Sus scrofa,feces,2013-12-15,,,"Porcine kobuvirus isolate swine/JX-3/2013/China, complete genome"
MT125685,Porcine kobuvirus,,,"Zhu,X., Chen,J., Feng,L.","Harbin Veterinary Research Institute, Chinese Academy of Agricultural Sciences",,2021-01-27,swine/HBYT/2018/China,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8233,GenBank,complete,,,,China,China,,Sus scrofa,feces,2018-11-09,,,"Porcine kobuvirus isolate swine/HBYT/2018/China, complete genome"
MT584793,Caprine kobuvirus,,,"Abi,K.","State Key Laboratory of Veterinary Etiological Biology, Lanzhou Veterinary Research Institute, Chinese Academy of Agricultural Sciences",China,2020-11-07,CKoV-China/SWUN/F11/2019,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8105,GenBank,complete,,,,China,China,,Capra hircus,,2019-01-01,,,"Caprine kobuvirus isolate CKoV-China/SWUN/F11/2019, complete genome"
MN604700,Caprine kobuvirus,set:MN604700,,"Sobhy,N.M., Armien,A., Wunschmann,A., Goyal,S.M., Mor,S.K.","College of Veterinary Medicine, University of Minnesota, Veterinary Diagnostic Laboratory and Department of Veterinary Population Medicine",USA,2020-06-09,MN1/2018,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8139,GenBank,complete,,,,USA,USA,,,feces,2017-12,,,"Caprine kobuvirus isolate MN1/2018, complete genome"
MT211964,Porcine kobuvirus,set:MT211964,,"Garcia-Hernandez,M.E., Sarmiento-Silva,R.E., Trujillo-Ortega,M.E., Taboada-Ramirez,B.I., Sandoval-Jaime,C., Lozano-Aguirre-Beltran,L.F.","Universidad Nacional Autonoma de Mexico, Facultad de Medicina Veterinaria y Zootecnia, Microbiologia e Inmunologia",Mexico,2020-05-24,EdoMex/2018/205,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8116,GenBank,complete,,,,Mexico,Mexico,,Sus scrofa,"feces, abdominal cavity",2018-01-17,,,"Porcine kobuvirus isolate EdoMex/2018/205, complete genome"
MN807751,Porcine kobuvirus,set:MN807751,,"Boros,A., Laszlo,Z., Pankovics,P., Marosi,A., Albert,M., Csagola,A., Biro,H., Fahsbender,E., Delwart,E., Reuter,G.","Medical School, University of Pecs, Medical Microbiology and Immunology",Hungary,2020-03-18,,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),7951,GenBank,complete,,,1,Hungary,Hungary,,Sus scrofa domesticus,feces,2013-01,,,"Porcine kobuvirus strain SZ1M-F/PKV/HUN/2013, complete genome"
MK962320,Porcine kobuvirus,set:MK962320,,"Martin,M., Darwich,L., Puente,H., Gomez de Nova,P.J., Carvajal,A., Franzo,G., Cortey,M., Diaz,I., Vidal,A., Martin Valls,G.E., Mateu,E.","Universitat Autonoma de Barcelona, Sanitat i Anatomia Animals, Facultat de Veterinaria",,2019-11-17,,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8210,GenBank,complete,,,,Spain,Spain,,Sus scrofa,feces,2017-05-22,,,"Porcine kobuvirus strain KobuV/Pig-wt/ESP/C247/2017, complete genome"
MK962321,Porcine kobuvirus,set:MK962321,,"Martin,M., Darwich,L., Puente,H., Gomez de Nova,P.J., Carvajal,A., Franzo,G., Cortey,M., Diaz,I., Vidal,A., Martin Valls,G.E., Mateu,E.","Universitat Autonoma de Barcelona, Sanitat i Anatomia Animals, Facultat de Veterinaria",,2019-11-17,,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8210,GenBank,complete,,,,Spain,Spain,,Sus scrofa,feces,2017-07-04,,,"Porcine kobuvirus strain KobuV/Pig-wt/ESP/P393/2017, complete genome"
MK962322,Porcine kobuvirus,set:MK962322,,"Martin,M., Darwich,L., Puente,H., Gomez de Nova,P.J., Carvajal,A., Franzo,G., Cortey,M., Diaz,I., Vidal,A., Martin Valls,G.E., Mateu,E.","Universitat Autonoma de Barcelona, Sanitat i Anatomia Animals, Facultat de Veterinaria",,2019-11-17,,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8210,GenBank,complete,,,,Spain,Spain,,Sus scrofa,feces,2017-03-16,,,"Porcine kobuvirus strain KobuV/Pig-wt/ESP/VC20B/2017, complete genome"
MK962323,Porcine kobuvirus,set:MK962323,,"Martin,M., Darwich,L., Puente,H., Gomez de Nova,P.J., Carvajal,A., Franzo,G., Cortey,M., Diaz,I., Vidal,A., Martin Valls,G.E., Mateu,E.","Universitat Autonoma de Barcelona, Sanitat i Anatomia Animals, Facultat de Veterinaria",,2019-11-17,,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8210,GenBank,complete,,,,Spain,Spain,,Sus scrofa,feces,2017-03-07,,,"Porcine kobuvirus strain KobuV/Pig-wt/ESP/P37/2017, complete genome"
MK962324,Porcine kobuvirus,set:MK962324,,"Martin,M., Darwich,L., Puente,H., Gomez de Nova,P.J., Carvajal,A., Franzo,G., Cortey,M., Diaz,I., Vidal,A., Martin Valls,G.E., Mateu,E.","Universitat Autonoma de Barcelona, Sanitat i Anatomia Animals, Facultat de Veterinaria",,2019-11-17,,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8210,GenBank,complete,,,,Spain,Spain,,Sus scrofa,feces,2017-09-18,,,"Porcine kobuvirus strain KobuV/Pig-wt/ESP/P437/2017, complete genome"
MK962325,Porcine kobuvirus,set:MK962325,,"Martin,M., Darwich,L., Puente,H., Gomez de Nova,P.J., Carvajal,A., Franzo,G., Cortey,M., Diaz,I., Vidal,A., Martin Valls,G.E., Mateu,E.","Universitat Autonoma de Barcelona, Sanitat i Anatomia Animals, Facultat de Veterinaria",,2019-11-17,,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8210,GenBank,complete,,,,Spain,Spain,,Sus scrofa,feces,2018-02-27,,,"Porcine kobuvirus strain KobuV/Pig-wt/ESP/VT25C/2017, complete genome"
MK962326,Porcine kobuvirus,set:MK962326,,"Martin,M., Darwich,L., Puente,H., Gomez de Nova,P.J., Carvajal,A., Franzo,G., Cortey,M., Diaz,I., Vidal,A., Martin Valls,G.E., Mateu,E.","Universitat Autonoma de Barcelona, Sanitat i Anatomia Animals, Facultat de Veterinaria",,2019-11-17,,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8210,GenBank,complete,,,,Spain,Spain,,Sus scrofa,feces,2017-07-10,,,"Porcine kobuvirus strain KobuV/Pig-wt/ESP/C429/2017, complete genome"
MK962327,Porcine kobuvirus,set:MK962327,,"Martin,M., Darwich,L., Puente,H., Gomez de Nova,P.J., Carvajal,A., Franzo,G., Cortey,M., Diaz,I., Vidal,A., Martin Valls,G.E., Mateu,E.","Universitat Autonoma de Barcelona, Sanitat i Anatomia Animals, Facultat de Veterinaria",,2019-11-17,,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8210,GenBank,complete,,,,Spain,Spain,,Sus scrofa,feces,2017-05-24,,,"Porcine kobuvirus strain KobuV/Pig-wt/ESP/P259/2017, complete genome"
MK962328,Porcine kobuvirus,set:MK962328,,"Martin,M., Darwich,L., Puente,H., Gomez de Nova,P.J., Carvajal,A., Franzo,G., Cortey,M., Diaz,I., Vidal,A., Martin Valls,G.E., Mateu,E.","Universitat Autonoma de Barcelona, Sanitat i Anatomia Animals, Facultat de Veterinaria",,2019-11-17,,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8210,GenBank,complete,,,,Spain,Spain,,Sus scrofa,feces,2017-06-01,,,"Porcine kobuvirus strain KobuV/Pig-wt/ESP/B304/2017, complete genome"
MK962329,Porcine kobuvirus,set:MK962329,,"Martin,M., Darwich,L., Puente,H., Gomez de Nova,P.J., Carvajal,A., Franzo,G., Cortey,M., Diaz,I., Vidal,A., Martin Valls,G.E., Mateu,E.","Universitat Autonoma de Barcelona, Sanitat i Anatomia Animals, Facultat de Veterinaria",,2019-11-17,,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8210,GenBank,complete,,,,Spain,Spain,,Sus scrofa,feces,2017-11-01,,,"Porcine kobuvirus strain KobuV/Pig-wt/ESP/P2B/2017, complete genome"
MK962330,Porcine kobuvirus,set:MK962330,,"Martin,M., Darwich,L., Puente,H., Gomez de Nova,P.J., Carvajal,A., Franzo,G., Cortey,M., Diaz,I., Vidal,A., Martin Valls,G.E., Mateu,E.","Universitat Autonoma de Barcelona, Sanitat i Anatomia Animals, Facultat de Veterinaria",,2019-11-17,,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8210,GenBank,complete,,,,Spain,Spain,,Sus scrofa,feces,2017-09-22,,,"Porcine kobuvirus strain KobuV/Pig-wt/ESP/P452/2017, complete genome"
MK962331,Porcine kobuvirus,set:MK962331,,"Martin,M., Darwich,L., Puente,H., Gomez de Nova,P.J., Carvajal,A., Franzo,G., Cortey,M., Diaz,I., Vidal,A., Martin Valls,G.E., Mateu,E.","Universitat Autonoma de Barcelona, Sanitat i Anatomia Animals, Facultat de Veterinaria",,2019-11-17,,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8210,GenBank,complete,,,,Spain,Spain,,Sus scrofa,feces,2017-05-30,,,"Porcine kobuvirus strain KobuV/Pig-wt/ESP/P284/2017, complete genome"
MK962332,Porcine kobuvirus,set:MK962332,,"Martin,M., Darwich,L., Puente,H., Gomez de Nova,P.J., Carvajal,A., Franzo,G., Cortey,M., Diaz,I., Vidal,A., Martin Valls,G.E., Mateu,E.","Universitat Autonoma de Barcelona, Sanitat i Anatomia Animals, Facultat de Veterinaria",,2019-11-17,,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8210,GenBank,complete,,,,Spain,Spain,,Sus scrofa,feces,2017-07-04,,,"Porcine kobuvirus strain KobuV/Pig-wt/ESP/C375/2017, complete genome"
MK962333,Porcine kobuvirus,set:MK962333,,"Martin,M., Darwich,L., Puente,H., Gomez de Nova,P.J., Carvajal,A., Franzo,G., Cortey,M., Diaz,I., Vidal,A., Martin Valls,G.E., Mateu,E.","Universitat Autonoma de Barcelona, Sanitat i Anatomia Animals, Facultat de Veterinaria",,2019-11-17,,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8210,GenBank,complete,,,,Spain,Spain,,Sus scrofa,feces,2017-11-02,,,"Porcine kobuvirus strain KobuV/Pig-wt/ESP/P461/2017, complete genome"
MK962334,Porcine kobuvirus,set:MK962334,,"Martin,M., Darwich,L., Puente,H., Gomez de Nova,P.J., Carvajal,A., Franzo,G., Cortey,M., Diaz,I., Vidal,A., Martin Valls,G.E., Mateu,E.","Universitat Autonoma de Barcelona, Sanitat i Anatomia Animals, Facultat de Veterinaria",,2019-11-17,,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8210,GenBank,complete,,,,Spain,Spain,,Sus scrofa,feces,2017-02-14,,,"Porcine kobuvirus strain KobuV/Pig-wt/ESP/VC14/2017, complete genome"
MK962335,Porcine kobuvirus,set:MK962335,,"Martin,M., Darwich,L., Puente,H., Gomez de Nova,P.J., Carvajal,A., Franzo,G., Cortey,M., Diaz,I., Vidal,A., Martin Valls,G.E., Mateu,E.","Universitat Autonoma de Barcelona, Sanitat i Anatomia Animals, Facultat de Veterinaria",,2019-11-17,,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8210,GenBank,complete,,,,Spain,Spain,,Sus scrofa,feces,2017-01-25,,,"Porcine kobuvirus strain KobuV/Pig-wt/ESP/VC8/2017, complete genome"
MK962336,Porcine kobuvirus,set:MK962336,,"Martin,M., Darwich,L., Puente,H., Gomez de Nova,P.J., Carvajal,A., Franzo,G., Cortey,M., Diaz,I., Vidal,A., Martin Valls,G.E., Mateu,E.","Universitat Autonoma de Barcelona, Sanitat i Anatomia Animals, Facultat de Veterinaria",,2019-11-17,,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8210,GenBank,complete,,,,Spain,Spain,,Sus scrofa,feces,2017-01-25,,,"Porcine kobuvirus strain KobuV/Pig-wt/ESP/VC11/2017, complete genome"
MF506730,Porcine kobuvirus,set:MF506730,,"Lin,C.-M., Wang,Q.","Department of Veterinary Preventive Medicine, The Ohio State University, Food Animal Health Research Program, Ohio Agricultural Research and Development Center",USA,2018-05-05,OH/RV11/2011,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8152,GenBank,complete,,,,USA,USA,,Sus scrofa,feces,2011-04-13,,,"Porcine kobuvirus isolate OH/RV11/2011, complete genome"
MG800803,Porcine kobuvirus,set:MG800803,,"Wang,Y., Yang,S.","Jiangsu University, Medical school",China,2018-02-21,Chgz1,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),7993,GenBank,partial,,,,China,China,,Sus scrofa,,2015-09-15,,,"Porcine kobuvirus isolate Chgz1 polyprotein gene, complete cds"
MG800804,Porcine kobuvirus,set:MG800804,,"Wang,Y., Yang,S.","Jiangsu University, Medical school",China,2018-02-21,Chgz2,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),7995,GenBank,partial,,,,China,China,,Sus scrofa,,2015-09-15,,,"Porcine kobuvirus isolate Chgz2 polyprotein gene, complete cds"
MG800805,Porcine kobuvirus,set:MG800805,,"Wang,Y., Yang,S.","Jiangsu University, Medical school",China,2018-02-21,Chgz3,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),7995,GenBank,partial,,,,China,China,,Sus scrofa,,2015-09-15,,,"Porcine kobuvirus isolate Chgz3 polyprotein gene, complete cds"
MG800806,Porcine kobuvirus,set:MG800806,,"Wang,Y., Yang,S.","Jiangsu University, Medical school",China,2018-02-21,Chgz4,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8141,GenBank,partial,,,,China,China,,Sus scrofa,,2015-09-15,,,"Porcine kobuvirus isolate Chgz4 polyprotein gene, complete cds"
MG800807,Porcine kobuvirus,set:MG800807,,"Wang,Y., Yang,S.","Jiangsu University, Medical school",China,2018-02-21,Chgz5,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),7993,GenBank,partial,,,,China,China,,Sus scrofa,,2015-09-15,,,"Porcine kobuvirus isolate Chgz5 polyprotein gene, complete cds"
LT898428,Porcine kobuvirus,set:LT898428,,"Pohlmann,A.","Friedrich-Loeffler-Institut, Institute of Diagnostic Virology, Suedufer 10, 17489 Greifswald - Insel Riems",Germany,2017-08-08,PKV/GER/L00919-K17_14-02/2014,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8016,GenBank,complete,,,,Germany,Germany,,Sus scrofa,,2014-11-03,SAMEA81286168,PRJEB19039,"Porcine kobuvirus isolate PKV_GER_L00919-K17_14-02_2014 genome assembly, complete genome: monopartite"
MF062435,Porcine kobuvirus,set:MF062435,,"Yan,J., Liang,D., Sun,X., Li,C., He,Q., Feng,S., Liu,Q., Xiong,Y.","Center of Animal Epidemic Prention and Control, Division of Livestock",China,2017-05-24,Guangxi/G1/2012/CH,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),7467,GenBank,partial,,,,China: Guangxi,China,,Sus scrofa,abdominal cavity,2012-05,,,"Porcine kobuvirus isolate Guangxi/G1/2012/CH polyprotein gene, complete cds"
MF062436,Porcine kobuvirus,set:MF062436,,"Yan,J., Liang,D., Sun,X., Li,C., He,Q., Feng,S., Liu,Q., Xiong,Y.","Center of Animal Epidemic Prention and Control, Division of Livestock",China,2017-05-24,Guangxi/G21/2014/CH,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),7467,GenBank,partial,,,,China: Guangxi,China,,Sus scrofa,abdominal cavity,2014-01,,,"Porcine kobuvirus isolate Guangxi/G21/2014/CH polyprotein gene, complete cds"
MF062437,Porcine kobuvirus,set:MF062437,,"Yan,J., Liang,D., Sun,X., Li,C., He,Q., Feng,S., Liu,Q., Xiong,Y.","Center of Animal Epidemic Prention and Control, Division of Livestock",China,2017-05-24,Guangxi/G20/2013/CH,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),7377,GenBank,partial,,,,China: Guangxi,China,,Sus scrofa,abdominal cavity,2013-05,,,"Porcine kobuvirus isolate Guangxi/G20/2013/CH polyprotein gene, complete cds"
MF062438,Porcine kobuvirus,set:MF062438,,"Yan,J., Liang,D., Sun,X., Li,C., He,Q., Feng,S., Liu,Q., Xiong,Y.","Center of Animal Epidemic Prention and Control, Division of Livestock",China,2017-05-24,Guangxi/G19/2013/CH,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),7377,GenBank,partial,,,,China: Guangxi,China,,Sus scrofa,abdominal cavity,2013-05,,,"Porcine kobuvirus isolate Guangxi/G19/2013/CH polyprotein gene, complete cds"
MF062439,Porcine kobuvirus,set:MF062439,,"Yan,J., Liang,D., Sun,X., Li,C., He,Q., Feng,S., Liu,Q., Xiong,Y.","Center of Animal Epidemic Prention and Control, Division of Livestock",China,2017-05-24,Guangxi/G18/2013/CH,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),7467,GenBank,partial,,,,China: Guangxi,China,,Sus scrofa,abdominal cavity,2013-02,,,"Porcine kobuvirus isolate Guangxi/G18/2013/CH polyprotein gene, complete cds"
MF062440,Porcine kobuvirus,set:MF062440,,"Yan,J., Liang,D., Sun,X., Li,C., He,Q., Feng,S., Liu,Q., Xiong,Y.","Center of Animal Epidemic Prention and Control, Division of Livestock",China,2017-05-24,Guangxi/G17/2013/CH,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),7467,GenBank,partial,,,,China: Guangxi,China,,Sus scrofa,abdominal cavity,2013-03,,,"Porcine kobuvirus isolate Guangxi/G17/2013/CH polyprotein gene, complete cds"
MF062441,Porcine kobuvirus,set:MF062441,,"Yan,J., Liang,D., Sun,X., Li,C., He,Q., Feng,S., Liu,Q., Xiong,Y.","Center of Animal Epidemic Prention and Control, Division of Livestock",China,2017-05-24,Guangxi/G16/2013/CH,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),7377,GenBank,partial,,,,China: Guangxi,China,,Sus scrofa,abdominal cavity,2013-01,,,"Porcine kobuvirus isolate Guangxi/G16/2013/CH polyprotein gene, complete cds"
